Date,Tests.Performed,delta.Tests,Positive.Tests,delta.Positives,Deaths,Hospitilizations,delta.Hospitalizations,Hospitalized.Currently,Cases.Under20,delta.Cases.Under20,Cases.20-44,delta.Cases.20-44,Cases.45-54,delta.Cases.45-54,Cases.55-64,delta.Cases.55-64,Cases.Over65,delta.Cases.Over65,Cases.Unknown,delta.Cases.Unknown,Deaths.Under20,delta.Deaths.Under20,Deaths.20-44,delta.Deaths.20-44,Deaths.45-54,delta.Deaths.45-54,Deaths.55-64,delta.Deaths.55-64,Deaths.Over65,delta.Deaths.Over65,Hospitilizations.Under20,delta.Hospitalizations.Under20,Hospitilizations.20-44,delta.Hospitalizations.20-44,Hospitilizations.45-54,delta.Hospitalizations.45-54,Hospitilizations.55-64,delta.Hospitalizations.55-64,Hospitilizations.Over65,delta.Hospitalizations.Over65,New.Cases,New.Deaths,New.PCR,New.Inpatient.Change,Match,Notes,Cases.Date.of.Administration,delta.Cases.date,PCR.Date.of.Test,delta.PCR.date
7/21/2020,807666,14143,148683,3500,2918,6894,196,3041,16935,434,73742,1584,23002,561,17611,432,17192,482,201,7,11,1,172,6,194,7,420,25,2121,95,102,1,1441,27,1037,20,1233,40,3081,108,3500,134,14143,-43,true,,,,,
7/20/2020,793523,7544,145183,1559,2784,6698,66,3084,16501,180,72158,780,22441,240,17179,176,16710,196,194,-13,10,0,166,2,187,3,395,5,2026,13,101,0,1414,11,1017,14,1193,10,2973,31,1559,23,7544,-52,true,,78,-69,7,-405
7/19/2020,785979,13988,143624,2359,2761,6632,65,3136,16321,317,71378,1129,22201,361,17003,305,16514,242,207,5,10,0,164,3,184,1,390,6,2013,21,101,1,1403,8,1003,8,1183,8,2942,40,2359,31,13988,-102,true,,147,-198,412,-1117
7/18/2020,771991,7836,141265,2742,2730,6567,165,3238,16004,366,70249,1300,21840,354,16698,316,16272,396,202,10,10,0,161,8,183,6,384,18,1992,115,100,0,1395,21,995,13,1175,26,2902,105,2742,147,7836,-228,true,Lab error to report on time,345,-523,1529,-2118
7/17/2020,764155,15664,138523,3910,2583,6402,106,3466,15638,462,68949,1888,21486,653,16382,490,15876,415,192,2,10,1,153,5,177,9,366,16,1877,60,100,1,1374,20,982,16,1149,12,2797,57,3910,91,15664,12,true,,868,-270,3647,-1748
7/16/2020,748491,13307,134613,3259,2492,6296,193,3454,15176,403,67061,1564,20833,480,15892,414,15461,394,190,4,9,0,148,5,168,4,350,9,1817,40,99,2,1354,36,966,20,1137,33,2740,102,3259,58,13307,-39,true,,1138,-660,5395,-4627
7/15/2020,735184,13993,131354,3256,2434,6103,161,3493,14773,416,65497,1515,20353,503,15478,398,15067,415,186,10,9,0,143,8,164,9,341,14,1777,66,97,1,1318,28,946,23,1104,19,2638,90,3257,97,13993,-24,true,,1798,-364,10022,-605
7/14/2020,721191,19488,128098,4274,2337,5942,103,3517,14357,489,63982,2101,19850,632,15080,546,14652,500,176,5,9,1,135,7,155,8,327,15,1711,61,96,1,1290,18,923,15,1085,12,2548,57,4273,92,19488,144,true,,2162,-195,10627,-506
7/13/2020,701703,6240,123824,1357,2245,5839,44,3373,13868,154,61881,711,19218,212,14534,143,14152,133,171,4,8,0,128,3,147,0,312,0,1650,5,95,2,1272,2,908,0,1073,8,2491,32,1357,8,6240,-59,true,Very low testing day,2357,1374,11133,6856
7/12/2020,695463,12170,122467,2537,2237,5795,45,3432,13714,295,61170,1288,19006,424,14391,277,14019,244,167,9,8,0,125,5,147,6,312,16,1645,59,93,0,1270,5,908,5,1065,-1,2459,36,2537,86,12170,-53,true,,983,-160,4277,-1481
